ZFIN:ZDB-GENE-061013-692	pgap4
ZFIN:ZDB-GENE-061013-672	slc27a1b
ZFIN:ZDB-GENE-091118-123	si:dkey-17e16.9
ZFIN:ZDB-GENE-050208-358	pip5k1ca
UniProtKB:A9C3R8	rpe65c
ZFIN:ZDB-GENE-050522-268	acbd5a
ZFIN:ZDB-GENE-050522-229	lpcat2
ZFIN:ZDB-GENE-090311-47	alox5a
UniProtKB:F1R7W6	oxsm
ZFIN:ZDB-GENE-050417-83	abhd4
ZFIN:ZDB-GENE-050417-78	alkbh7
ZFIN:ZDB-GENE-050417-70	acer1
UniProtKB:E7F0D8	plppr2b
ZFIN:ZDB-GENE-030131-4437	ndufab1b
ZFIN:ZDB-GENE-030131-4430	pdss1
UniProtKB:B0V3H6	itpkcb
ZFIN:ZDB-GENE-030131-4415	serinc1
UniProtKB:A0A2R8RUV2	cpt1ab
ZFIN:ZDB-GENE-050522-139	zgc:109982
ZFIN:ZDB-GENE-050522-125	neu4
ZFIN:ZDB-GENE-050522-114	pcyt1ab
ZFIN:ZDB-GENE-061201-42	ppap2d
ZFIN:ZDB-GENE-061201-39	neu3.1
ZFIN:ZDB-GENE-040801-95	auh
ZFIN:ZDB-GENE-100629-1	pigu
ZFIN:ZDB-GENE-040801-88	acsl1b
ZFIN:ZDB-GENE-061201-12	echdc3
ZFIN:ZDB-GENE-050419-185	si:ch211-260p9.3
ZFIN:ZDB-GENE-050419-140	meak7
ZFIN:ZDB-GENE-040801-24	hsd17b14
ZFIN:ZDB-GENE-040801-22	pltp
UniProtKB:F1R6N4	echdc1
ZFIN:ZDB-GENE-061013-408	socs5a
UniProtKB:F1QUL2	lipcb
ZFIN:ZDB-GENE-150806-1	nkl.2
ZFIN:ZDB-GENE-060312-17	olah
ZFIN:ZDB-GENE-061013-388	dpep1
ZFIN:ZDB-GENE-061013-378	hsd17b7
UniProtKB:F1QTP9	si:ch73-55i23.1
ZFIN:ZDB-GENE-061013-99	ces2a
ZFIN:ZDB-GENE-061013-96	pi4kb
ZFIN:ZDB-GENE-120913-3	pnpla2
ZFIN:ZDB-GENE-080722-2	lpin1a
ZFIN:ZDB-GENE-040718-330	plaat1
ZFIN:ZDB-GENE-040312-3	cnr1
UniProtKB:E7F577	dgki
ZFIN:ZDB-GENE-040718-309	zgc:92749
ZFIN:ZDB-GENE-040718-303	pigh
UniProtKB:Q66I51	tmem55bb
ZFIN:ZDB-GENE-040718-246	pcca
ZFIN:ZDB-GENE-040718-245	impa1
ZFIN:ZDB-GENE-050417-425	cnep1r1
UniProtKB:E7F427	LOC100333227
UniProtKB:A2BGG1	mtmr12
ZFIN:ZDB-GENE-040618-4	gnpat
ZFIN:ZDB-GENE-110914-219	acsbg1
ZFIN:ZDB-GENE-040718-161	zgc:92907
ZFIN:ZDB-GENE-040718-158	dgat1b
ZFIN:ZDB-GENE-050417-399	mecr
ZFIN:ZDB-GENE-040718-142	decr1
ZFIN:ZDB-GENE-050417-361	phyh
UniProtKB:E7F351	acsl2
UniProtKB:E7F2S8	acsf3
ZFIN:ZDB-GENE-041210-322	aasdh
ZFIN:ZDB-GENE-050417-283	hexa
ZFIN:ZDB-GENE-050417-248	slc27a4
ZFIN:ZDB-GENE-030131-1740	cers5
ZFIN:ZDB-GENE-030902-1	cyp1b1
ZFIN:ZDB-GENE-041008-132	smpdl3b
ZFIN:ZDB-GENE-040901-5	hsd17b1
ZFIN:ZDB-GENE-030909-11	pck1
ZFIN:ZDB-GENE-080204-114	pign
ZFIN:ZDB-GENE-030131-760	ip6k2a
ZFIN:ZDB-GENE-040426-1796	cbr4
ZFIN:ZDB-GENE-061027-358	faah2b
ZFIN:ZDB-GENE-040426-1782	dpm3
ZFIN:ZDB-GENE-040426-1767	elovl4a
ZFIN:ZDB-GENE-040426-1759	rdh8b
ZFIN:ZDB-GENE-040426-1717	rpe65a
ZFIN:ZDB-GENE-030131-1670	socs6b
ZFIN:ZDB-GENE-060929-436	pigs
ZFIN:ZDB-GENE-030131-8374	gnpat2
ZFIN:ZDB-GENE-030131-684	tafazzin
ZFIN:ZDB-GENE-040426-1623	ilvbl
ZFIN:ZDB-GENE-090930-1	tecra
ZFIN:ZDB-GENE-060502-2	alg2
ZFIN:ZDB-GENE-011212-1	fads2
ZFIN:ZDB-GENE-030219-75	pld7
ZFIN:ZDB-GENE-140703-2	plpp2a
ZFIN:ZDB-GENE-040426-1565	acsl4a
ZFIN:ZDB-GENE-070209-32	zgc:158482
UniProtKB:E7FA01	sgpp2
ZFIN:ZDB-GENE-041111-310	si:ch211-212o1.2
ZFIN:ZDB-GENE-121105-5	dgkab
ZFIN:ZDB-GENE-081211-2	lclat1
ZFIN:ZDB-GENE-030131-1904	pik3cb
ZFIN:ZDB-GENE-030131-8617	ch25hl1.1
ZFIN:ZDB-GENE-080204-94	pigw
